S1_A09,S2_A09,S3_A09,S4_A09,S5_A09,S6_A09,S7_A09,S8_A09
0.532,1.768,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.768,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.292,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.768,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.768,0.325,1.648,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.768,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.768,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.768,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.768,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.768,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.768,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.87
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.657,1.869
0.532,1.768,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.768,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.768,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.768,0.325,1.647,1.885,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.532,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.647,1.885,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.647,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.869
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.867
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.867
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.868
0.531,1.767,0.325,1.646,1.884,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.531,1.767,0.325,1.645,1.883,0.291,0.655,1.867
0.531,1.767,0.325,1.645,1.883,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.883,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.883,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.883,0.291,0.655,1.867
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.766,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.766,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.767,0.324,1.645,1.884,0.291,0.656,1.867
0.531,1.767,0.325,1.645,1.884,0.291,0.655,1.867
0.531,1.766,0.325,1.645,1.884,0.291,0.656,1.867
0.531,1.766,0.325,1.645,1.884,0.291,0.655,1.867
0.531,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.531,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.531,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.531,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.531,1.766,0.325,1.645,1.883,0.291,0.656,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.531,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.531,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.531,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.531,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.884,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.767,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.866
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.866
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.866
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.867
0.53,1.766,0.325,1.645,1.883,0.29,0.655,1.866
0.53,1.766,0.324,1.644,1.883,0.291,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.324,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.291,0.655,1.866
0.53,1.766,0.324,1.645,1.883,0.291,0.655,1.866
0.53,1.766,0.325,1.645,1.883,0.29,0.655,1.866
0.53,1.766,0.324,1.645,1.883,0.29,0.655,1.866
0.53,1.766,0.324,1.645,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.645,1.883,0.291,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.291,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.291,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.324,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.291,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.645,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.645,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.291,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.767,0.324,1.644,1.883,0.29,0.655,1.866
0.53,1.767,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.883,0.291,0.655,1.866
0.53,1.767,0.325,1.644,1.883,0.29,0.655,1.866
0.53,1.767,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.883,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.883,0.291,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.324,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.324,1.645,1.884,0.291,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.291,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.766,0.324,1.644,1.884,0.29,0.655,1.866
0.53,1.766,0.324,1.644,1.884,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.766,0.324,1.644,1.884,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.766,0.324,1.644,1.884,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.324,1.644,1.884,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.766,0.325,1.645,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.766,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.644,1.884,0.29,0.655,1.866
0.53,1.767,0.325,1.644,1.884,0.29,0.655,1.866
