S1_A02,S2_A02,S3_A02,S4_A02,S5_A02,S6_A02,S7_A02,S8_A02
0.533,1.843,0.323,1.712,1.61,0.317,0.67,1.754
0.534,1.846,0.323,1.714,1.612,0.317,0.671,1.755
0.534,1.848,0.324,1.716,1.614,0.318,0.672,1.758
0.534,1.847,0.324,1.715,1.614,0.317,0.672,1.758
0.534,1.846,0.324,1.715,1.613,0.317,0.672,1.757
0.533,1.844,0.323,1.713,1.612,0.317,0.671,1.756
0.533,1.844,0.323,1.712,1.61,0.317,0.67,1.753
0.534,1.846,0.323,1.714,1.612,0.317,0.671,1.755
0.534,1.847,0.324,1.716,1.614,0.317,0.672,1.757
0.534,1.847,0.323,1.715,1.613,0.317,0.672,1.757
0.534,1.846,0.323,1.714,1.613,0.317,0.672,1.757
0.533,1.844,0.323,1.713,1.611,0.317,0.671,1.756
0.533,1.843,0.323,1.712,1.61,0.317,0.67,1.754
0.534,1.846,0.323,1.714,1.612,0.317,0.671,1.755
0.534,1.847,0.324,1.716,1.614,0.317,0.672,1.758
0.534,1.847,0.323,1.715,1.613,0.318,0.672,1.757
0.534,1.846,0.323,1.715,1.613,0.317,0.672,1.757
0.533,1.844,0.323,1.713,1.611,0.317,0.671,1.756
0.533,1.843,0.323,1.712,1.61,0.317,0.671,1.754
0.534,1.847,0.323,1.714,1.612,0.317,0.671,1.756
0.534,1.848,0.324,1.716,1.614,0.318,0.672,1.757
0.534,1.846,0.323,1.715,1.613,0.317,0.672,1.757
0.534,1.847,0.324,1.715,1.613,0.317,0.672,1.757
0.534,1.846,0.324,1.715,1.613,0.317,0.672,1.757
0.534,1.847,0.323,1.715,1.613,0.317,0.672,1.757
0.534,1.847,0.324,1.715,1.613,0.317,0.672,1.757
0.534,1.846,0.324,1.715,1.613,0.317,0.672,1.757
0.534,1.846,0.324,1.715,1.613,0.317,0.672,1.757
0.534,1.847,0.323,1.715,1.613,0.317,0.672,1.757
0.535,1.847,0.324,1.716,1.613,0.317,0.672,1.758
0.535,1.847,0.324,1.716,1.613,0.318,0.672,1.758
0.535,1.847,0.323,1.716,1.614,0.317,0.672,1.758
0.535,1.847,0.324,1.716,1.614,0.317,0.672,1.758
0.535,1.847,0.323,1.716,1.614,0.318,0.672,1.758
0.535,1.847,0.323,1.716,1.614,0.318,0.672,1.758
